Gonzalez, Scarlett  ID=149189      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
Baker, Mia  ID=194373      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A
2,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A
3,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
4,  [Being a Pilot],  Galloway J,  Presenter 31, N/A


Williams, Emma  ID=148279      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
2,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
3,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Baker, Carter  ID=176788      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
2,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, 3rd
3,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Hernandez, Olivia  ID=188637      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A


Miller, Joseph  ID=127870      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A
2,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
3,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Davis, Mia  ID=138333      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, N/A
2,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
3,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
4,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A


Robinson, Evelyn  ID=197727      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, 5th
2,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A
3,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
4,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A


Sanchez, Charlotte  ID=137532      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
2,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, 2nd
3,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Williams, Mila  ID=130247      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
2,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, 2nd
3,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
4,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A


Carter, Gianna  ID=113235      1st Period Teacher=Abernathy S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career in Government],  Ormsby M,  Presenter 16, N/A
2,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A


Brown, Jack  ID=165384      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, 2nd
2,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
3,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
4,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A


Miller, Charlotte  ID=157843      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
2,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
3,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, 4th
4,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A


Young, Layla  ID=127190      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
3,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
4,  [A career in medicine],  Kingsley D,  Presenter 36, N/A


Gonzalez, Aiden  ID=197957      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, N/A
2,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
3,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
4,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, 1st


Rivera, Harper  ID=128513      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, N/A
2,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
3,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
4,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, 6th


White, William  ID=179769      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
2,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
4,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 4th


Baker, Sophia  ID=163719      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
2,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
3,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, 6th
4,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A


Perez, Amelia  ID=152045      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A
2,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
3,  [Why You need a resume],  Greystone M,  Presenter 2, 3rd
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Harris, Levi  ID=119611      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, 6th
2,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, 7th
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 3rd
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Thomas, Ava  ID=156049      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, 4th
3,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
4,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A


Lee, Jackson  ID=196087      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
2,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, N/A
3,  [Why You need a resume],  Greystone M,  Presenter 2, N/A
4,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A


Hernandez, Harper  ID=199455      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, N/A
2,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, N/A
3,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, 1st
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Carter, Carter  ID=101818      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, N/A
2,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
3,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
4,  [A career in medicine],  Kingsley D,  Presenter 36, N/A


Jones, Aria  ID=144821      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, 7th
2,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
3,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A
4,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, 1st


Torres, Lily  ID=129857      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
2,  [Nursing-the Most Versatile and Rewarding Career],  Quincy B,  Presenter 9, 1st
3,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
4,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A


Hall, Scarlett  ID=164177      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Science behind Police Response to Traffic Crashes],  Blackwood I,  Presenter 24, 7th
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
4,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A


Ramirez, Aria  ID=109041      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, 6th
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
4,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, N/A


Scott, Alexander  ID=197523      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
2,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
3,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
4,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A


Campbell, Mason  ID=108894      1st Period Teacher=Ainsworth G
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
4,  [Career in Government],  Ormsby M,  Presenter 16, 7th


Davis, Riley  ID=148487      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
2,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
3,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
4,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A


Lee, Harper  ID=160211      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
2,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
3,  [Career in Government],  Ormsby M,  Presenter 16, N/A
4,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A


Scott, Gianna  ID=107612      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, 1st
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
4,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A


King, Chloe  ID=117524      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career in Government],  Ormsby M,  Presenter 16, N/A
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
4,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A


Flores, William  ID=125195      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
2,  [A Career in Construction Management and Project Scheduling],  Montgomery C,  Presenter 19, N/A
3,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
4,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A


Taylor, Mateo  ID=119943      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Why You need a resume],  Greystone M,  Presenter 2, N/A
2,  [Career & Educational opportunities in the Air Force],  Tennyson C,  Presenter 5, 2nd
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
4,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A


Sanchez, Zoey  ID=116048      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
2,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A
3,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
4,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A


Thomas, Amelia  ID=171264      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
2,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
3,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
4,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A


Thomas, Charlotte  ID=194474      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L,  Presenter 13, 7th
2,  [A career in medicine],  Kingsley D,  Presenter 36, N/A
3,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
4,  [Why You need a resume],  Greystone M,  Presenter 2, N/A


Scott, Noah  ID=176523      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
2,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, N/A
3,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
4,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A


Green, Logan  ID=159589      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
2,  [School Board Member/SLP],  Fairfax O,  Presenter 21, N/A
3,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A
4,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A


Lee, Ella  ID=184485      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J,  Presenter 11, N/A
2,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
3,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
4,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A


Hernandez, Aiden  ID=130217      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A
2,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A
4,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A


Thompson, Mila  ID=135767      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A
2,  [Engineering: a career with many changes],  Ravenscroft A,  Presenter 23, N/A
3,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A
4,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A


Moore, Henry  ID=183772      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Career in the Legal Profession],  Fitzwilliam E,  Presenter 12, N/A
2,  [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O,  Presenter 40, N/A
3,  [The Entertainment Business],  Sinclair J,  Presenter 30, 4th
4,  [Space Based Intelligence Software],  Haverford G,  Presenter 15, N/A


Brown, Noah  ID=141840      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
2,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
3,  [Becoming a Sheriff],  Fairfax R,  Presenter 20, N/A
4,  [Career Paths for the Orthodontist],  Fitzwilliam J,  Presenter 6, N/A


Thompson, Chloe  ID=160706      1st Period Teacher=Ashford S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
2,  [Careers in Chemistry at Kennedy Space Center],  Ingram O,  Presenter 17, N/A
3,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
4,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A


Clark, Oliver  ID=186654      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Electrical Engineering],  Whitmore C,  Presenter 26, N/A
2,  [Firefighter/Paramedic Career and or venue owner],  Langley G,  Presenter 33, N/A
3,  [(CANCELLED) A career in educational administration],  Ravenscroft S,  Presenter 25, N/A
4,  [Careers in Cybersecurity],  Ravenscroft S,  Presenter 32, N/A


Rivera, William  ID=108232      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Treating Cancer with Radiation],  Greystone O,  Presenter 10, N/A
2,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 2nd
3,  [Personalities & Career Explorations],  Ashford S,  Presenter 7, N/A
4,  [Being a Chiropractor],  Vance J,  Presenter 35, N/A


Johnson, Mason  ID=119662      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Being a Pilot],  Galloway J,  Presenter 31, N/A
2,  [The Role of Local Government in Everyday Living],  Kingsley O,  Presenter 3, N/A
3,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, 1st
4,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A


Hill, Ellie  ID=145650      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Cybersecurity and hacking],  Whitmore H,  Presenter 41, N/A
2,  [Why You need a resume],  Greystone M,  Presenter 2, N/A
3,  [Practicing Now to Be an Author Later],  Rutherford E,  Presenter 34, N/A
4,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A


Perez, Liam  ID=166319      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Crime Scene Investigation],  Montgomery C,  Presenter 29, N/A
2,  [Becoming a Melbourne Police Officer],  Abernathy S,  Presenter 39, N/A
3,  [Exploring IT Careers],  Ellsworth G,  Presenter 22, N/A
4,  [The Entertainment Business],  Sinclair J,  Presenter 30, N/A


Sanchez, Chloe  ID=157101      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
2,  [Follow the Money to Stop the Crime],  Beaumont S,  Presenter 14, N/A
3,  [Pathways to Success in the Pharmaceutical Industry],  Kingsley H,  Presenter 18, 2nd
4,  [Finanical Literacy for Students],  Yardley A,  Presenter 8, 1st


Williams, Lily  ID=120822      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G,  Presenter 28, N/A
2,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
3,  [Sparking Innovation & Making an Impact],  Marlowe S,  Presenter 38, N/A
4,  [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M,  Presenter 27, N/A


Thomas, Aria  ID=158737      1st Period Teacher=Beaumont S
SESS, SUBJECT, TEACHER / ROOM, PRESENTER, PRIORITY
1,  [Architecture - designing buildings big & small],  Eversley A,  Presenter 4, N/A
2,  [Women in Electrical Engineering],  Marlowe B,  Presenter 1, N/A
3,  [Not Just a nurse],  Davenport W,  Presenter 37, N/A
