NUM_STUDENTS, 600
FIRST_NAME, LAST_NAME, HR_TEACH, FIRST_PERIOD, STUDENT_ID, GRADE, SEL1_ID, SEL1_TEACH, SEL2_ID, SEL2_TEACH, SEL3_ID, SEL3_TEACH, SEL4_ID, SEL4_TEACH
 Samuel,  Moore,  Whitmore C,  Whitmore H, 142735, 9, 3,  Kingsley O, 40,  Montgomery O, 34,  Rutherford E, 27,  Underwood M
 Samuel,  Smith,  Montgomery C,  Whitmore C, 186123, 10, 14,  Beaumont S, 33,  Langley G, 28,  Ainsworth G, 1,  Marlowe B
 Gianna,  Scott,  Greystone M,  Ashford S, 107612, 11, 3,  Kingsley O, 33,  Langley G, 29,  Montgomery C, 25,  Ravenscroft S
 Jack,  Jackson,  Blackwood I,  Blackwood I, 120307, 12, 14,  Beaumont S, 37,  Davenport W, 20,  Fairfax R, 15,  Haverford G
 Carter,  Walker,  Radcliffe L,  Marlowe B, 113465, 7, 1,  Marlowe B, 37,  Davenport W, 40,  Montgomery O, 36,  Kingsley D
 Isabella,  Sanchez,  Whitmore C,  Marlowe S, 194578, 8, 36,  Kingsley D, 15,  Haverford G, 37,  Davenport W, 19,  Montgomery C
 Camila,  Young,  Marlowe B,  Eversley A, 142144, 9, 40,  Montgomery O, 26,  Whitmore C, 3,  Kingsley O, 20,  Fairfax R
 Joseph,  Anderson,  Fairfax R,  Ingram O, 164037, 10, 16,  Ormsby M, 12,  Fitzwilliam E, 8,  Yardley A, 25,  Ravenscroft S
 Gianna,  Harris,  Ravenscroft A,  Fitzwilliam J, 140814, 11, 36,  Kingsley D, 38,  Marlowe S, 13,  Radcliffe L, 33,  Langley G
 Sophia,  Adams,  Montgomery C,  Haverford G, 105888, 12, 26,  Whitmore C, 4,  Eversley A, 12,  Fitzwilliam E, 39,  Abernathy S
 Carter,  Miller,  Marlowe S,  Ormsby M, 198929, 7, 36,  Kingsley D, 4,  Eversley A, 10,  Greystone O, 5,  Tennyson C
 Mia,  Moore,  Fitzwilliam J,  Ravenscroft A, 126780, 8, 4,  Eversley A, 17,  Ingram O, 16,  Ormsby M, 33,  Langley G
 Ella,  Scott,  Whitmore H,  Ellsworth G, 103325, 9, 23,  Ravenscroft A, 11,  Wainwright J, 31,  Galloway J, 9,  Quincy B
 Owen,  Moore,  Tennyson C,  Radcliffe L, 191313, 10, 10,  Greystone O, 31,  Galloway J, 12,  Fitzwilliam E, 25,  Ravenscroft S
 Ella,  Wright,  Radcliffe L,  Kingsley O, 122010, 11, 1,  Marlowe B, 19,  Montgomery C, 41,  Whitmore H, 7,  Ashford S
 Oliver,  Clark,  Montgomery C,  Beaumont S, 186654, 12, 26,  Whitmore C, 33,  Langley G, 25,  Ravenscroft S, 32,  Ravenscroft S
 Nora,  Anderson,  Fitzwilliam E,  Marlowe B, 155844, 7, 7,  Ashford S, 31,  Galloway J, 27,  Underwood M, 5,  Tennyson C
 William,  Martin,  Montgomery C,  Kingsley H, 141387, 8, 32,  Ravenscroft S, 9,  Quincy B, 17,  Ingram O, 20,  Fairfax R
 Chloe,  King,  Abernathy S,  Ashford S, 117524, 9, 16,  Ormsby M, 33,  Langley G, 14,  Beaumont S, 22,  Ellsworth G
 Evelyn,  Walker,  Ravenscroft S,  Tennyson C, 163167, 10, 25,  Ravenscroft S, 28,  Ainsworth G, 29,  Montgomery C, 13,  Radcliffe L
 Logan,  Garcia,  Ravenscroft S,  Galloway J, 181752, 11, 38,  Marlowe S, 24,  Blackwood I, 13,  Radcliffe L, 7,  Ashford S
 Henry,  Perez,  Marlowe B,  Kingsley O, 171518, 12, 6,  Fitzwilliam J, 35,  Vance J, 41,  Whitmore H, 22,  Ellsworth G
 Emma,  Thompson,  Davenport W,  Fitzwilliam E, 105020, 7, 30,  Sinclair J, 19,  Montgomery C, 25,  Ravenscroft S, 9,  Quincy B
 Aiden,  Taylor,  Ormsby M,  Radcliffe L, 160270, 8, 7,  Ashford S, 17,  Ingram O, 31,  Galloway J, 9,  Quincy B
 Sebastian,  Lewis,  Langley G,  Wainwright J, 129286, 9, 11,  Wainwright J, 28,  Ainsworth G, 30,  Sinclair J, 24,  Blackwood I
 Emma,  Taylor,  Marlowe B,  Yardley A, 197225, 10, 21,  Fairfax O, 15,  Haverford G, 13,  Radcliffe L, 30,  Sinclair J
 Sebastian,  Flores,  Ravenscroft A,  Underwood M, 123608, 11, 6,  Fitzwilliam J, 12,  Fitzwilliam E, 2,  Greystone M, 17,  Ingram O
 Jackson,  Wilson,  Yardley A,  Fitzwilliam J, 108342, 12, 24,  Blackwood I, 18,  Kingsley H, 8,  Yardley A, 38,  Marlowe S
 Sebastian,  Robinson,  Blackwood I,  Blackwood I, 134622, 7, 13,  Radcliffe L, 18,  Kingsley H, 2,  Greystone M, 24,  Blackwood I
 Mateo,  King,  Yardley A,  Quincy B, 196349, 8, 39,  Abernathy S, 2,  Greystone M, 36,  Kingsley D, 32,  Ravenscroft S
 Scarlett,  Martin,  Vance J,  Ravenscroft S, 193064, 9, 39,  Abernathy S, 21,  Fairfax O, 25,  Ravenscroft S, 35,  Vance J
 Lucas,  Moore,  Fairfax O,  Davenport W, 195212, 10, 17,  Ingram O, 23,  Ravenscroft A, 28,  Ainsworth G, 14,  Beaumont S
 Ella,  Rivera,  Galloway J,  Ormsby M, 104558, 11, 30,  Sinclair J, 26,  Whitmore C, 36,  Kingsley D, 7,  Ashford S
 Wyatt,  Lee,  Sinclair J,  Montgomery C, 185077, 12, 20,  Fairfax R, 23,  Ravenscroft A, 22,  Ellsworth G, 10,  Greystone O
 Levi,  Ramirez,  Davenport W,  Rutherford E, 110814, 7, 22,  Ellsworth G, 18,  Kingsley H, 19,  Montgomery C, 4,  Eversley A
 Mila,  Torres,  Montgomery C,  Kingsley H, 119727, 8, 20,  Fairfax R, 39,  Abernathy S, 37,  Davenport W, 14,  Beaumont S
 Gianna,  Young,  Fairfax O,  Ellsworth G, 140094, 9, 26,  Whitmore C, 14,  Beaumont S, 30,  Sinclair J, 23,  Ravenscroft A
 Aria,  Davis,  Underwood M,  Whitmore H, 134308, 10, 37,  Davenport W, 31,  Galloway J, 9,  Quincy B, 13,  Radcliffe L
 Mia,  Taylor,  Tennyson C,  Vance J, 126801, 11, 1,  Marlowe B, 37,  Davenport W, 36,  Kingsley D, 12,  Fitzwilliam E
 Lily,  Gonzalez,  Galloway J,  Montgomery C, 151558, 12, 27,  Underwood M, 8,  Yardley A, 18,  Kingsley H, 23,  Ravenscroft A
 Amelia,  Moore,  Haverford G,  Quincy B, 139978, 7, 36,  Kingsley D, 19,  Montgomery C, 18,  Kingsley H, 33,  Langley G
 Jack,  Brown,  Beaumont S,  Ainsworth G, 165384, 8, 7,  Ashford S, 39,  Abernathy S, 36,  Kingsley D, 32,  Ravenscroft S
 Jack,  Ramirez,  Yardley A,  Rutherford E, 161339, 9, 24,  Blackwood I, 2,  Greystone M, 20,  Fairfax R, 11,  Wainwright J
 Oliver,  Robinson,  Davenport W,  Galloway J, 197261, 10, 30,  Sinclair J, 39,  Abernathy S, 40,  Montgomery O, 34,  Rutherford E
 Jack,  Williams,  Ravenscroft S,  Quincy B, 145210, 11, 25,  Ravenscroft S, 33,  Langley G, 20,  Fairfax R, 32,  Ravenscroft S
 Samuel,  Hall,  Ellsworth G,  Ravenscroft S, 129024, 12, 28,  Ainsworth G, 10,  Greystone O, 38,  Marlowe S, 18,  Kingsley H
 Charlotte,  Miller,  Kingsley O,  Ainsworth G, 157843, 7, 13,  Radcliffe L, 26,  Whitmore C, 6,  Fitzwilliam J, 34,  Rutherford E
 Gianna,  Walker,  Greystone O,  Greystone M, 113873, 8, 19,  Montgomery C, 7,  Ashford S, 40,  Montgomery O, 18,  Kingsley H
 Mila,  Perez,  Haverford G,  Sinclair J, 159209, 9, 36,  Kingsley D, 1,  Marlowe B, 24,  Blackwood I, 3,  Kingsley O
 Harper,  Jackson,  Marlowe B,  Whitmore H, 169428, 10, 37,  Davenport W, 21,  Fairfax O, 40,  Montgomery O, 26,  Whitmore C
 Sebastian,  Lee,  Whitmore C,  Fairfax R, 105979, 11, 23,  Ravenscroft A, 1,  Marlowe B, 35,  Vance J, 15,  Haverford G
 Sebastian,  Scott,  Montgomery C,  Whitmore C, 153082, 12, 38,  Marlowe S, 41,  Whitmore H, 9,  Quincy B, 25,  Ravenscroft S
 Carter,  Moore,  Greystone O,  Whitmore C, 180564, 7, 30,  Sinclair J, 37,  Davenport W, 2,  Greystone M, 21,  Fairfax O
 Jackson,  Young,  Haverford G,  Kingsley H, 139608, 8, 17,  Ingram O, 24,  Blackwood I, 6,  Fitzwilliam J, 22,  Ellsworth G
 Oliver,  Thomas,  Radcliffe L,  Sinclair J, 102622, 9, 30,  Sinclair J, 27,  Underwood M, 2,  Greystone M, 18,  Kingsley H
 Mila,  Allen,  Haverford G,  Whitmore C, 194768, 10, 13,  Radcliffe L, 26,  Whitmore C, 10,  Greystone O, 33,  Langley G
 William,  Harris,  Rutherford E,  Montgomery C, 139397, 11, 24,  Blackwood I, 27,  Underwood M, 10,  Greystone O, 31,  Galloway J
 Chloe,  Rivera,  Rutherford E,  Montgomery O, 160876, 12, 35,  Vance J, 36,  Kingsley D, 10,  Greystone O, 19,  Montgomery C
 Isabella,  Thomas,  Langley G,  Rutherford E, 132270, 7, 4,  Eversley A, 25,  Ravenscroft S, 13,  Radcliffe L, 7,  Ashford S
 Alexander,  Jones,  Ravenscroft A,  Abernathy S, 130317, 8, 25,  Ravenscroft S, 21,  Fairfax O, 30,  Sinclair J, 39,  Abernathy S
 James,  Jones,  Ravenscroft S,  Greystone O, 166396, 9, 6,  Fitzwilliam J, 27,  Underwood M, 25,  Ravenscroft S, 35,  Vance J
 Jackson,  Nelson,  Ravenscroft A,  Ingram O, 151296, 10, 15,  Haverford G, 35,  Vance J, 5,  Tennyson C, 23,  Ravenscroft A
 Riley,  Robinson,  Ashford S,  Montgomery O, 167722, 11, 29,  Montgomery C, 35,  Vance J, 41,  Whitmore H, 1,  Marlowe B
 Noah,  Carter,  Tennyson C,  Abernathy S, 198091, 12, 32,  Ravenscroft S, 37,  Davenport W, 9,  Quincy B, 20,  Fairfax R
 Logan,  Allen,  Wainwright J,  Montgomery O, 196581, 7, 32,  Ravenscroft S, 18,  Kingsley H, 41,  Whitmore H, 34,  Rutherford E
 Jack,  Robinson,  Davenport W,  Abernathy S, 137706, 8, 39,  Abernathy S, 36,  Kingsley D, 13,  Radcliffe L, 1,  Marlowe B
 James,  Flores,  Fairfax R,  Ravenscroft A, 169834, 9, 11,  Wainwright J, 37,  Davenport W, 3,  Kingsley O, 15,  Haverford G
 Lily,  Clark,  Montgomery C,  Marlowe B, 124658, 10, 28,  Ainsworth G, 41,  Whitmore H, 24,  Blackwood I, 29,  Montgomery C
 Joseph,  Torres,  Davenport W,  Fitzwilliam J, 145862, 11, 38,  Marlowe S, 15,  Haverford G, 28,  Ainsworth G, 27,  Underwood M
 Lucas,  Harris,  Montgomery C,  Montgomery C, 176008, 12, 26,  Whitmore C, 16,  Ormsby M, 32,  Ravenscroft S, 33,  Langley G
 Mia,  Scott,  Wainwright J,  Marlowe B, 193566, 7, 23,  Ravenscroft A, 41,  Whitmore H, 28,  Ainsworth G, 33,  Langley G
 Daniel,  Hall,  Fitzwilliam E,  Fitzwilliam E, 131455, 8, 31,  Galloway J, 26,  Whitmore C, 27,  Underwood M, 6,  Fitzwilliam J
 Emma,  Brown,  Ravenscroft S,  Sinclair J, 117066, 9, 30,  Sinclair J, 14,  Beaumont S, 22,  Ellsworth G, 7,  Ashford S
 William,  Rivera,  Fairfax R,  Beaumont S, 108232, 10, 10,  Greystone O, 4,  Eversley A, 7,  Ashford S, 35,  Vance J
 Nora,  Nelson,  Kingsley O,  Blackwood I, 106271, 11, 18,  Kingsley H, 1,  Marlowe B, 28,  Ainsworth G, 16,  Ormsby M
 William,  Davis,  Yardley A,  Vance J, 194763, 12, 18,  Kingsley H, 22,  Ellsworth G, 13,  Radcliffe L, 31,  Galloway J
 Joseph,  Rodriguez,  Langley G,  Fitzwilliam E, 190362, 7, 1,  Marlowe B, 39,  Abernathy S, 16,  Ormsby M, 24,  Blackwood I
 Elijah,  White,  Radcliffe L,  Ravenscroft A, 100089, 8, 19,  Montgomery C, 13,  Radcliffe L, 14,  Beaumont S, 26,  Whitmore C
 Joseph,  Torres,  Kingsley O,  Montgomery C, 183818, 9, 14,  Beaumont S, 7,  Ashford S, 20,  Fairfax R, 11,  Wainwright J
 Camila,  Perez,  Fairfax O,  Ravenscroft S, 139211, 10, 9,  Quincy B, 15,  Haverford G, 18,  Kingsley H, 35,  Vance J
 Riley,  Rivera,  Yardley A,  Ravenscroft A, 195406, 11, 15,  Haverford G, 5,  Tennyson C, 6,  Fitzwilliam J, 38,  Marlowe S
 Ethan,  Perez,  Montgomery C,  Ravenscroft S, 187306, 12, 36,  Kingsley D, 16,  Ormsby M, 7,  Ashford S, 35,  Vance J
 William,  White,  Vance J,  Fairfax R, 147702, 7, 28,  Ainsworth G, 32,  Ravenscroft S, 35,  Vance J, 31,  Galloway J
 Mila,  Lopez,  Greystone O,  Montgomery C, 197142, 8, 23,  Ravenscroft A, 15,  Haverford G, 31,  Galloway J, 39,  Abernathy S
 Oliver,  Hill,  Montgomery C,  Wainwright J, 169200, 9, 31,  Galloway J, 39,  Abernathy S, 3,  Kingsley O, 4,  Eversley A
 Layla,  Young,  Montgomery C,  Ainsworth G, 127190, 10, 22,  Ellsworth G, 11,  Wainwright J, 41,  Whitmore H, 36,  Kingsley D
 Ava,  Martinez,  Ellsworth G,  Ellsworth G, 186507, 11, 11,  Wainwright J, 33,  Langley G, 17,  Ingram O, 31,  Galloway J
 Chloe,  Lopez,  Montgomery C,  Radcliffe L, 111398, 12, 9,  Quincy B, 19,  Montgomery C, 23,  Ravenscroft A, 8,  Yardley A
 Scarlett,  Rivera,  Ellsworth G,  Fairfax R, 121366, 7, 14,  Beaumont S, 7,  Ashford S, 26,  Whitmore C, 19,  Montgomery C
 Aria,  Perez,  Blackwood I,  Kingsley D, 112861, 8, 22,  Ellsworth G, 23,  Ravenscroft A, 40,  Montgomery O, 11,  Wainwright J
 Zoey,  Thomas,  Ravenscroft A,  Blackwood I, 147986, 9, 19,  Montgomery C, 39,  Abernathy S, 30,  Sinclair J, 40,  Montgomery O
 Camila,  Martinez,  Greystone M,  Davenport W, 185962, 10, 36,  Kingsley D, 1,  Marlowe B, 31,  Galloway J, 40,  Montgomery O
 Zoey,  Martin,  Blackwood I,  Montgomery C, 125857, 11, 4,  Eversley A, 37,  Davenport W, 24,  Blackwood I, 7,  Ashford S
 Sebastian,  Wright,  Marlowe B,  Yardley A, 114858, 12, 41,  Whitmore H, 37,  Davenport W, 19,  Montgomery C, 36,  Kingsley D
 Logan,  Harris,  Wainwright J,  Fitzwilliam E, 151104, 7, 26,  Whitmore C, 22,  Ellsworth G, 4,  Eversley A, 35,  Vance J
 Olivia,  Williams,  Galloway J,  Abernathy S, 112087, 8, 9,  Quincy B, 29,  Montgomery C, 7,  Ashford S, 24,  Blackwood I
 Grace,  Taylor,  Montgomery O,  Underwood M, 169145, 9, 5,  Tennyson C, 8,  Yardley A, 29,  Montgomery C, 32,  Ravenscroft S
 Mia,  Jones,  Quincy B,  Ravenscroft S, 105915, 10, 10,  Greystone O, 37,  Davenport W, 23,  Ravenscroft A, 21,  Fairfax O
 James,  Torres,  Fitzwilliam J,  Montgomery C, 148046, 11, 30,  Sinclair J, 16,  Ormsby M, 6,  Fitzwilliam J, 38,  Marlowe S
 Luna,  Lopez,  Montgomery C,  Greystone M, 126055, 12, 14,  Beaumont S, 26,  Whitmore C, 33,  Langley G, 1,  Marlowe B
 Benjamin,  Jackson,  Fairfax R,  Marlowe B, 149667, 7, 2,  Greystone M, 10,  Greystone O, 35,  Vance J, 3,  Kingsley O
 Elijah,  Johnson,  Fairfax O,  Radcliffe L, 134604, 8, 35,  Vance J, 4,  Eversley A, 30,  Sinclair J, 32,  Ravenscroft S
 Lucas,  Hill,  Quincy B,  Galloway J, 125460, 9, 37,  Davenport W, 23,  Ravenscroft A, 31,  Galloway J, 39,  Abernathy S
 Nora,  Thomas,  Whitmore C,  Ellsworth G, 115402, 10, 1,  Marlowe B, 35,  Vance J, 12,  Fitzwilliam E, 3,  Kingsley O
 Joseph,  Anderson,  Davenport W,  Blackwood I, 112273, 11, 16,  Ormsby M, 32,  Ravenscroft S, 13,  Radcliffe L, 6,  Fitzwilliam J
 Sebastian,  Green,  Sinclair J,  Montgomery O, 128469, 12, 5,  Tennyson C, 19,  Montgomery C, 26,  Whitmore C, 15,  Haverford G
 Lily,  Garcia,  Whitmore C,  Underwood M, 115560, 7, 41,  Whitmore H, 22,  Ellsworth G, 7,  Ashford S, 33,  Langley G
 Camila,  Gonzalez,  Montgomery C,  Marlowe S, 158741, 8, 26,  Whitmore C, 2,  Greystone M, 1,  Marlowe B, 10,  Greystone O
 Benjamin,  Wright,  Kingsley O,  Abernathy S, 168471, 9, 23,  Ravenscroft A, 9,  Quincy B, 3,  Kingsley O, 17,  Ingram O
 Alexander,  Adams,  Montgomery O,  Blackwood I, 122032, 10, 11,  Wainwright J, 30,  Sinclair J, 21,  Fairfax O, 37,  Davenport W
 Aiden,  Gonzalez,  Montgomery O,  Ainsworth G, 197957, 11, 8,  Yardley A, 23,  Ravenscroft A, 28,  Ainsworth G, 12,  Fitzwilliam E
 Daniel,  Baker,  Davenport W,  Haverford G, 147419, 12, 29,  Montgomery C, 39,  Abernathy S, 12,  Fitzwilliam E, 1,  Marlowe B
 Samuel,  Campbell,  Fairfax O,  Ravenscroft A, 100062, 7, 13,  Radcliffe L, 33,  Langley G, 19,  Montgomery C, 14,  Beaumont S
 Ella,  Jackson,  Haverford G,  Kingsley H, 140876, 8, 29,  Montgomery C, 13,  Radcliffe L, 21,  Fairfax O, 17,  Ingram O
 Jackson,  Walker,  Yardley A,  Ingram O, 103422, 9, 25,  Ravenscroft S, 8,  Yardley A, 29,  Montgomery C, 27,  Underwood M
 William,  Flores,  Ravenscroft S,  Ashford S, 125195, 10, 31,  Galloway J, 19,  Montgomery C, 14,  Beaumont S, 28,  Ainsworth G
 Logan,  Gonzalez,  Fitzwilliam J,  Langley G, 129172, 11, 13,  Radcliffe L, 9,  Quincy B, 41,  Whitmore H, 5,  Tennyson C
 Logan,  Davis,  Fairfax R,  Ravenscroft S, 173437, 12, 12,  Fitzwilliam E, 18,  Kingsley H, 22,  Ellsworth G, 41,  Whitmore H
 Nora,  Taylor,  Quincy B,  Whitmore C, 111473, 7, 18,  Kingsley H, 8,  Yardley A, 25,  Ravenscroft S, 11,  Wainwright J
 Ella,  Baker,  Whitmore C,  Vance J, 143966, 8, 17,  Ingram O, 8,  Yardley A, 38,  Marlowe S, 18,  Kingsley H
 Carter,  Jones,  Marlowe S,  Langley G, 131383, 9, 14,  Beaumont S, 4,  Eversley A, 17,  Ingram O, 5,  Tennyson C
 Lily,  Lee,  Haverford G,  Whitmore C, 130645, 10, 37,  Davenport W, 22,  Ellsworth G, 34,  Rutherford E, 6,  Fitzwilliam J
 Isabella,  Miller,  Underwood M,  Davenport W, 176748, 11, 21,  Fairfax O, 7,  Ashford S, 10,  Greystone O, 33,  Langley G
 Ava,  Roberts,  Rutherford E,  Fitzwilliam E, 113425, 12, 41,  Whitmore H, 14,  Beaumont S, 23,  Ravenscroft A, 40,  Montgomery O
 Harper,  Rivera,  Ormsby M,  Ainsworth G, 128513, 7, 18,  Kingsley H, 28,  Ainsworth G, 29,  Montgomery C, 14,  Beaumont S
 Sophia,  Campbell,  Montgomery C,  Ormsby M, 149369, 8, 3,  Kingsley O, 4,  Eversley A, 16,  Ormsby M, 33,  Langley G
 Owen,  Mitchell,  Ellsworth G,  Galloway J, 163852, 9, 3,  Kingsley O, 41,  Whitmore H, 26,  Whitmore C, 32,  Ravenscroft S
 Carter,  Allen,  Quincy B,  Haverford G, 173476, 10, 7,  Ashford S, 4,  Eversley A, 23,  Ravenscroft A, 27,  Underwood M
 Sophia,  Hill,  Radcliffe L,  Fitzwilliam E, 160959, 11, 23,  Ravenscroft A, 24,  Blackwood I, 6,  Fitzwilliam J, 41,  Whitmore H
 Ethan,  Moore,  Vance J,  Davenport W, 148920, 12, 37,  Davenport W, 12,  Fitzwilliam E, 18,  Kingsley H, 5,  Tennyson C
 Joseph,  Johnson,  Ravenscroft S,  Tennyson C, 145487, 7, 28,  Ainsworth G, 35,  Vance J, 1,  Marlowe B, 9,  Quincy B
 Sebastian,  Thomas,  Ravenscroft S,  Rutherford E, 181066, 8, 10,  Greystone O, 5,  Tennyson C, 23,  Ravenscroft A, 28,  Ainsworth G
 Ava,  Lee,  Quincy B,  Vance J, 163002, 9, 16,  Ormsby M, 30,  Sinclair J, 32,  Ravenscroft S, 36,  Kingsley D
 Elijah,  Campbell,  Ormsby M,  Vance J, 170893, 10, 18,  Kingsley H, 33,  Langley G, 38,  Marlowe S, 15,  Haverford G
 Camila,  Carter,  Fitzwilliam E,  Montgomery O, 198417, 11, 1,  Marlowe B, 2,  Greystone M, 18,  Kingsley H, 31,  Galloway J
 Elijah,  Anderson,  Wainwright J,  Fairfax O, 139037, 12, 31,  Galloway J, 38,  Marlowe S, 4,  Eversley A, 23,  Ravenscroft A
 Isabella,  King,  Ravenscroft S,  Wainwright J, 101285, 7, 20,  Fairfax R, 11,  Wainwright J, 1,  Marlowe B, 39,  Abernathy S
 Harper,  Lopez,  Ormsby M,  Yardley A, 174687, 8, 18,  Kingsley H, 22,  Ellsworth G, 27,  Underwood M, 36,  Kingsley D
 Camila,  Garcia,  Marlowe B,  Underwood M, 153168, 9, 25,  Ravenscroft S, 26,  Whitmore C, 35,  Vance J, 16,  Ormsby M
 William,  Nelson,  Rutherford E,  Greystone M, 184060, 10, 35,  Vance J, 39,  Abernathy S, 13,  Radcliffe L, 31,  Galloway J
 Scarlett,  Hall,  Kingsley O,  Montgomery C, 192644, 11, 11,  Wainwright J, 8,  Yardley A, 4,  Eversley A, 26,  Whitmore C
 Riley,  Walker,  Ashford S,  Haverford G, 136972, 12, 33,  Langley G, 1,  Marlowe B, 15,  Haverford G, 37,  Davenport W
 William,  White,  Ravenscroft A,  Ainsworth G, 179769, 7, 21,  Fairfax O, 34,  Rutherford E, 30,  Sinclair J, 9,  Quincy B
 Mateo,  Taylor,  Fitzwilliam E,  Ashford S, 119943, 8, 2,  Greystone M, 5,  Tennyson C, 30,  Sinclair J, 17,  Ingram O
