SUBJECT,  [Women in Electrical Engineering]
 Marlowe B by  Presenter 1
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
 Kingsley O by  Presenter 3
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Moore, Samuel,3rd, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
1, Scott, Gianna,1st, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Campbell, Sophia,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Mitchell, Owen,5th, [Cybersecurity and hacking],  Whitmore H
1, Campbell, Camila,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
1, Williams, Noah,N/A, [Why You need a resume],  Greystone M
1, Miller, Ethan,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
1, Smith, Aria,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Roberts, Amelia,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
1, Carter, Elijah,N/A, [Finanical Literacy for Students],  Yardley A
1, Lee, Alexander,6th, [Crime Scene Investigation],  Montgomery C
1, Jones, Samuel,N/A, [Why You need a resume],  Greystone M
1, Brown, Noah,N/A, [Cybersecurity and hacking],  Whitmore H
2, Adams, Logan,7th, [A Career in Construction Management and Project Scheduling],  Montgomery C
2, Johnson, Mason,N/A, [Architecture - designing buildings big & small],  Eversley A
2, Sanchez, Logan,2nd, [Firefighter/Paramedic Career and or venue owner],  Langley G
2, Allen, Wyatt,N/A, [Space Based Intelligence Software],  Haverford G
2, Lopez, Jack,N/A, [Space Based Intelligence Software],  Haverford G
2, Martinez, Noah,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Thomas, Lucas,N/A, [Electrical Engineering],  Whitmore C
2, Perez, Amelia,N/A, [Why You need a resume],  Greystone M
2, Sanchez, Mia,N/A, [Being a Pilot],  Galloway J
2, Scott, Aiden,N/A, [Architecture - designing buildings big & small],  Eversley A
2, Thomas, Harper,N/A, [Not Just a nurse],  Davenport W
2, Robinson, Samuel,N/A, [Being a Chiropractor],  Vance J
2, King, Ethan,2nd, [Finanical Literacy for Students],  Yardley A
2, Martin, Camila,N/A, [Practicing Now to Be an Author Later],  Rutherford E
2, Mitchell, Jackson,N/A, [Follow the Money to Stop the Crime],  Beaumont S
2, Williams, Mila,4th, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
2, Nguyen, Mason,5th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Young, Camila,1st, [Becoming a Sheriff],  Fairfax R
3, Flores, James,1st, [Space Based Intelligence Software],  Haverford G
3, Hill, Oliver,N/A, [Architecture - designing buildings big & small],  Eversley A
3, Wright, Benjamin,3rd, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Hernandez, Grace,6th, [Women in Electrical Engineering],  Marlowe B
3, Lopez, Emma,N/A, [School Board Member/SLP],  Fairfax O
3, Flores, Gianna,N/A, [Career in the Legal Profession],  Fitzwilliam E
3, Hernandez, William,N/A, [Space Based Intelligence Software],  Haverford G
3, Harris, Levi,3rd, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
3, Williams, Mia,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
3, Moore, Riley,N/A, [Career in Government],  Ormsby M
3, Jackson, Ava,N/A, [Finanical Literacy for Students],  Yardley A
3, Ramirez, Charlotte,N/A, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
3, Ramirez, Aria,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
3, Sanchez, Oliver,N/A, [Why You need a resume],  Greystone M
3, Wright, Carter,N/A, [Career & Educational opportunities in the Air Force],  Tennyson C
3, Thompson, Chloe,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
3, Hill, Henry,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
4, Perez, Mila,4th,N/A, N/A
4, Jackson, Benjamin,N/A,N/A, N/A
4, Thomas, Nora,N/A,N/A, N/A
4, Campbell, Henry,N/A,N/A, N/A
4, Scott, Chloe,3rd,N/A, N/A
4, Nguyen, Oliver,N/A,N/A, N/A
4, Allen, Alexander,7th,N/A, N/A
4, Martinez, Liam,N/A,N/A, N/A
4, Flores, Charlotte,N/A,N/A, N/A
4, Hall, Lily,3rd,N/A, N/A
4, Roberts, Benjamin,N/A,N/A, N/A
4, Martin, Isabella,N/A,N/A, N/A
4, Scott, Wyatt,N/A,N/A, N/A
4, Taylor, Benjamin,6th,N/A, N/A
4, Allen, Aria,5th,N/A, N/A
4, Lee, Jackson,N/A,N/A, N/A
4, Jackson, Harper,N/A,N/A, N/A
4, Allen, Ava,N/A,N/A, N/A
4, Mitchell, Layla,7th,N/A, N/A
4, Garcia, James,N/A,N/A, N/A
4, Williams, Mila,N/A,N/A, N/A
4, Roberts, Charlotte,N/A,N/A, N/A


SUBJECT,  [Architecture - designing buildings big & small]
 Eversley A by  Presenter 4
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Lopez, Owen,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Adams, Logan,3rd, [The Role of Local Government in Everyday Living],  Kingsley O
1, Moore, Mia,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Thomas, Isabella,7th, [(CANCELLED) A career in educational administration],  Ravenscroft S
1, Martin, Zoey,N/A, [Not Just a nurse],  Davenport W
1, Thompson, Samuel,6th, [Becoming a Melbourne Police Officer],  Abernathy S
1, Thomas, Aria,N/A, [Women in Electrical Engineering],  Marlowe B
1, Hernandez, Daniel,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Perez, Grace,5th, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
1, Perez, Joseph,N/A, [Career in Government],  Ormsby M
1, Robinson, Jack,N/A, [Personalities & Career Explorations],  Ashford S
1, Miller, Amelia,6th, [Electrical Engineering],  Whitmore C
1, Thompson, Emma,N/A, [Crime Scene Investigation],  Montgomery C
1, Harris, Samuel,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
1, Carter, Jackson,N/A, [Not Just a nurse],  Davenport W
1, Ramirez, Scarlett,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
1, Mitchell, Jack,N/A, [A career in medicine],  Kingsley D
1, Scott, Alexander,N/A, [Engineering: a career with many changes],  Ravenscroft A
1, Clark, Nora,N/A, [Becoming a Sheriff],  Fairfax R
2, Adams, Sophia,5th, [Career in the Legal Profession],  Fitzwilliam E
2, Miller, Carter,5th, [Treating Cancer with Radiation],  Greystone O
2, Rivera, William,2nd, [Personalities & Career Explorations],  Ashford S
2, Johnson, Elijah,N/A, [The Entertainment Business],  Sinclair J
2, Jones, Carter,2nd, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Campbell, Sophia,7th, [Career in Government],  Ormsby M
2, Allen, Carter,N/A, [Engineering: a career with many changes],  Ravenscroft A
2, Flores, Ava,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
2, Lee, Riley,N/A, [Electrical Engineering],  Whitmore C
2, Flores, Camila,N/A, [The Entertainment Business],  Sinclair J
2, Johnson, Emma,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
2, Nguyen, Aiden,N/A, [Career in Government],  Ormsby M
2, Miller, Oliver,N/A, [Career in Government],  Ormsby M
2, Anderson, Harper,N/A, [The Entertainment Business],  Sinclair J
2, Green, Evelyn,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
2, Torres, Elijah,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
2, Miller, Joseph,N/A, [(CANCELLED) A career in educational administration],  Ravenscroft S
2, Perez, Harper,3rd, [Women in Electrical Engineering],  Marlowe B
2, Thompson, Chloe,5th, [Finanical Literacy for Students],  Yardley A
2, Hall, Olivia,N/A, [Not Just a nurse],  Davenport W
3, King, Harper,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
3, Baker, Alexander,2nd, [Career in the Legal Profession],  Fitzwilliam E
3, Harris, Logan,2nd, [Being a Chiropractor],  Vance J
3, Anderson, Elijah,6th, [Engineering: a career with many changes],  Ravenscroft A
3, Hall, Scarlett,N/A, [Electrical Engineering],  Whitmore C
3, Johnson, Mason,1st, [Cybersecurity and hacking],  Whitmore H
3, Jones, Carter,N/A, [Career in Government],  Ormsby M
3, Green, Layla,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
3, Scott, Aiden,1st, [Not Just a nurse],  Davenport W
3, Gonzalez, Lily,N/A, [Planes Trains and Automobiles - Mechanical Engineering in many sectors],  Radcliffe L
3, Young, Ella,5th, [Firefighter/Paramedic Career and or venue owner],  Langley G
3, Martin, William,N/A, [Exploring IT Careers],  Ellsworth G
3, Lee, Amelia,N/A, [Finanical Literacy for Students],  Yardley A
3, Perez, Lily,N/A, [Career in the Legal Profession],  Fitzwilliam E
3, Sanchez, Sophia,N/A, [The Entertainment Business],  Sinclair J
4, Lee, Scarlett,6th,N/A, N/A
4, Lee, Harper,N/A,N/A, N/A
4, Ramirez, Levi,1st,N/A, N/A
4, Hill, Oliver,N/A,N/A, N/A
4, Clark, Gianna,7th,N/A, N/A
4, Scott, William,N/A,N/A, N/A
4, Nguyen, Benjamin,N/A,N/A, N/A
4, Harris, Riley,N/A,N/A, N/A
4, Green, Logan,N/A,N/A, N/A
4, Wright, Logan,6th,N/A, N/A
4, Jones, Mia,N/A,N/A, N/A


SUBJECT,  [Career & Educational opportunities in the Air Force]
 Tennyson C by  Presenter 5
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Gonzalez, Scarlett,4th, [Finanical Literacy for Students],  Yardley A
1, Lee, Scarlett,N/A, [Electrical Engineering],  Whitmore C
1, Taylor, Grace,2nd, [Finanical Literacy for Students],  Yardley A
1, Green, Sebastian,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Allen, Wyatt,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
1, Green, Owen,6th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Flores, Lucas,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Moore, Isabella,1st, [Pathways to Success in the Pharmaceutical Industry],  Kingsley H
1, Anderson, Evelyn,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Harris, Levi,6th, [Treating Cancer with Radiation],  Greystone O
1, Wilson, Scarlett,1st, [Career in Government],  Ormsby M
1, Rivera, Mateo,N/A, [Electrical Engineering],  Whitmore C
1, Moore, Amelia,N/A, [School Board Member/SLP],  Fairfax O
1, Carter, Carter,N/A, [Exploring IT Careers],  Ellsworth G
1, Ramirez, Mason,N/A, [Space Based Intelligence Software],  Haverford G
1, Rodriguez, Jack,N/A, [A career in medicine],  Kingsley D
1, Davis, Mia,N/A, [Practicing Now to Be an Author Later],  Rutherford E
1, Nelson, Mia,6th, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
2, Rivera, Riley,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
2, Thomas, Sebastian,N/A, [Engineering: a career with many changes],  Ravenscroft A
2, Taylor, Mateo,2nd, [The Entertainment Business],  Sinclair J
2, Miller, Alexander,N/A, [Being a Chiropractor],  Vance J
2, Campbell, Alexander,N/A, [Career in Government],  Ormsby M
2, Miller, Ethan,N/A, [School Board Member/SLP],  Fairfax O
2, Clark, Charlotte,N/A, [School Board Member/SLP],  Fairfax O
2, Hall, Lily,N/A, [Career in the Legal Profession],  Fitzwilliam E
2, Nguyen, Levi,4th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Smith, Owen,N/A, [Career Paths for the Orthodontist],  Fitzwilliam J
3, Nelson, Jackson,5th, [Engineering: a career with many changes],  Ravenscroft A
3, Campbell, Henry,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
3, Ramirez, Nora,N/A, [Personalities & Career Explorations],  Ashford S
3, Anderson, Riley,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
3, Young, Ethan,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
3, Rodriguez, Oliver,N/A, [Why You need a resume],  Greystone M
3, Harris, Charlotte,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Young, Luna,N/A, [Electrical Engineering],  Whitmore C
3, Walker, Nora,N/A, [Not Just a nurse],  Davenport W
3, Roberts, Sophia,N/A, [Why Everyone Needs A Good Lawyer and How to Become One],  Wainwright J
3, Nelson, Jackson,N/A, [Not Just a nurse],  Davenport W
3, King, Aiden,N/A, [Being a Chiropractor],  Vance J
3, Lewis, Jackson,N/A, [Exploring IT Careers],  Ellsworth G
3, Ramirez, Joseph,N/A, [Career in the Legal Profession],  Fitzwilliam E
3, Martinez, Levi,N/A, [Being a Chiropractor],  Vance J
3, King, Charlotte,N/A, [Crime Scene Investigation],  Montgomery C
4, Miller, Carter,2nd,N/A, N/A
4, Anderson, Nora,6th,N/A, N/A
4, Gonzalez, Logan,N/A,N/A, N/A
4, Jones, Carter,N/A,N/A, N/A
4, Moore, Ethan,7th,N/A, N/A
4, Lee, Nora,N/A,N/A, N/A
4, Smith, Wyatt,N/A,N/A, N/A
4, Rivera, Oliver,N/A,N/A, N/A
4, Scott, Logan,N/A,N/A, N/A
4, Torres, Mason,2nd,N/A, N/A
4, Jones, Aria,1st,N/A, N/A
4, Wilson, Zoey,N/A,N/A, N/A
4, Brown, Olivia,N/A,N/A, N/A
4, Hall, Mia,5th,N/A, N/A
4, Smith, Jackson,N/A,N/A, N/A
4, Ramirez, Aria,N/A,N/A, N/A
4, Nelson, Mateo,N/A,N/A, N/A
4, Wright, Carter,N/A,N/A, N/A
4, Young, Ava,5th,N/A, N/A


SUBJECT,  [Career Paths for the Orthodontist]
 Fitzwilliam J by  Presenter 6
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Perez, Henry,3rd, [Being a Chiropractor],  Vance J
1, Flores, Sebastian,1st, [Career in the Legal Profession],  Fitzwilliam E
1, Jones, James,3rd, [Careers in Wildlife-Natural Resources and Citizen Protection],  Underwood M
1, Torres, Benjamin,N/A, [Being a Chiropractor],  Vance J
1, Perez, Samuel,3rd, [Being a Chiropractor],  Vance J
1, Torres, Ella,N/A, [Becoming a Sheriff],  Fairfax R
1, Baker, Mia,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Taylor, Ava,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
1, Flores, Aria,N/A, [Exploring IT Careers],  Ellsworth G
1, Rivera, Oliver,N/A, [Electrical Engineering],  Whitmore C
1, Thomas, Harper,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
1, Wright, Levi,N/A, [Practicing Now to Be an Author Later],  Rutherford E
1, Hall, Mia,N/A, [A Career in Construction Management and Project Scheduling],  Montgomery C
1, Mitchell, Jackson,6th, [The Role of Local Government in Everyday Living],  Kingsley O
1, Campbell, Mason,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Williams, Joseph,4th, [Electrical Engineering],  Whitmore C
1, Campbell, Olivia,N/A, [Electrical Engineering],  Whitmore C
2, Sanchez, Zoey,N/A, [Becoming a Melbourne Police Officer],  Abernathy S
2, Scott, Joseph,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
2, Anderson, Levi,N/A, [Being a Pilot],  Galloway J
2, Williams, Ethan,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
2, Roberts, Ellie,N/A, [Follow the Money to Stop the Crime],  Beaumont S
2, Thompson, Logan,7th, [Career in Government],  Ormsby M
2, Carter, Gianna,N/A, [What it is like to work with animals at the Brevard Zoo.],  Ainsworth G
3, Miller, Charlotte,4th, [Practicing Now to Be an Author Later],  Rutherford E
3, Young, Jackson,1st, [Exploring IT Careers],  Ellsworth G
3, Rivera, Riley,N/A, [Sparking Innovation & Making an Impact],  Marlowe S
3, Torres, James,7th, [Sparking Innovation & Making an Impact],  Marlowe S
3, Hill, Sophia,1st, [Cybersecurity and hacking],  Whitmore H
3, Lewis, Jack,3rd, [Career in Government],  Ormsby M
3, Baker, Sophia,6th, [Follow the Money to Stop the Crime],  Beaumont S
3, Flores, Carter,N/A, [Personalities & Career Explorations],  Ashford S
3, Hall, Grace,N/A, [Architecture – design of buildings and places and the teams that make it happen],  Montgomery O
3, Campbell, Camila,5th, [Science behind Police Response to Traffic Crashes],  Blackwood I
3, Green, Owen,N/A, [Practicing Now to Be an Author Later],  Rutherford E
3, Lopez, Grace,N/A, [Not Just a nurse],  Davenport W
3, Williams, Carter,N/A, [Being a Chiropractor],  Vance J
3, Wright, Layla,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
3, Taylor, Benjamin,N/A, [The Role of Local Government in Everyday Living],  Kingsley O
3, Martin, Charlotte,N/A, [Electrical Engineering],  Whitmore C
3, Miller, Oliver,N/A, [Electrical Engineering],  Whitmore C
3, Rodriguez, Jack,N/A, [Careers in Chemistry at Kennedy Space Center],  Ingram O
3, Clark, Aiden,N/A, [Being a Chiropractor],  Vance J
3, Carter, Mila,N/A, [Personalities & Career Explorations],  Ashford S
3, Smith, Owen,6th, [Finanical Literacy for Students],  Yardley A
4, Rivera, Harper,7th,N/A, N/A
4, Hall, Daniel,N/A,N/A, N/A
4, Anderson, Joseph,5th,N/A, N/A
4, Lee, Lily,N/A,N/A, N/A
4, Martin, Carter,6th,N/A, N/A
4, Clark, Ellie,N/A,N/A, N/A
4, Thompson, Ava,N/A,N/A, N/A
4, Thomas, Lucas,N/A,N/A, N/A
4, Wilson, Scarlett,N/A,N/A, N/A
4, Smith, Aria,N/A,N/A, N/A
4, Young, James,N/A,N/A, N/A
4, Harris, Samuel,N/A,N/A, N/A
4, Brown, Mateo,4th,N/A, N/A
4, Scott, Camila,1st,N/A, N/A
4, Brown, Noah,N/A,N/A, N/A


SUBJECT,  [Personalities & Career Explorations]
 Ashford S by  Presenter 7
PERIOD, STUDENT LAST, STUDENT FIRST, SELECTION_LEVEL, FOLLOWING_SESSION, FOLLOWING_SESS_TEADCHER
1, Brown, Sophia,7th, [Not Just a nurse],  Davenport W
1, Anderson, Nora,4th, [Being a Pilot],  Galloway J
1, Taylor, Aiden,4th, [Careers in Chemistry at Kennedy Space Center],  Ingram O
1, Brown, Jack,2nd, [Becoming a Melbourne Police Officer],  Abernathy S
1, Allen, Carter,N/A, [Architecture - designing buildings big & small],  Eversley A
1, Flores, Ava,3rd, [Architecture - designing buildings big & small],  Eversley A
1, Campbell, Ella,N/A, [Electrical Engineering],  Whitmore C
1, Jackson, Harper,N/A, [Nursing-the Most Versatile and Rewarding Career],  Quincy B
1, Perez, Oliver,N/A, [Becoming a Sheriff],  Fairfax R
1, Smith, Jackson,N/A, [Finanical Literacy for Students],  Yardley A
1, Baker, Sophia,N/A, [Firefighter/Paramedic Career and or venue owner],  Langley G
1, Perez, Lily,N/A, [Cybersecurity and hacking],  Whitmore H
